se_model_id,se_model_name,adaptation_type,immediate_ancestor,ancestor_rel_type_raw,max_lineage_length,base_model,se_task_id,se_task,se_activity_id,se_activity
Trelis/CodeLlama-34b-Instruct-hf-function-calling-adapters-v2,CodeLlama-34b-Instruct-hf-function-calling-adapters-v2,Fine-tuned,codellama/CodeLlama-34b-hf,IS_FINETUNED_FROM,1,codellama/CodeLlama-34b-hf,code completion,code completion,software implementation,software implementation
Trelis/Microsoft_Phi-4-FP8-Dynamic,Microsoft_Phi-4-FP8-Dynamic,Quantized,NyxKrage/Microsoft_Phi-4,IS_QUANTIZED_FROM,1,NyxKrage/Microsoft_Phi-4,code generation,code generation,software implementation,software implementation
Trelis/Mistral-7B-v0.1-chat-ORPO,Mistral-7B-v0.1-chat-ORPO,Fine-tuned,mistralai/Mistral-7B-v0.1,IS_FINETUNED_FROM,1,mistralai/Mistral-7B-v0.1,code generation,code generation,software implementation,software implementation
Trilogix1/Hugston_code-rl-Qwen3-4B-Instruct-2507-SFT-30b,Hugston_code-rl-Qwen3-4B-Instruct-2507-SFT-30b,Fine-tuned,Qwen/Qwen3-4B-Instruct-2507,IS_FINETUNED_FROM,1,Qwen/Qwen3-4B-Instruct-2507,coding,coding,software implementation,software implementation
TroglodyteDerivations/GPT_OSS_120B_,GPT_OSS_120B_,Fine-tuned,openai/gpt-oss-120b,IS_FINETUNED_FROM,1,openai/gpt-oss-120b,code generation,code generation,software implementation,software implementation
Userb1az/Qwen3-14B-GGUF,Qwen3-14B-GGUF,Quantized,Qwen/Qwen3-14B-Base,IS_QUANTIZED_FROM,1,Qwen/Qwen3-14B-Base,code generation,code generation,software implementation,software implementation
Userb1az/Qwen3-30B-A3B-GGUF,Qwen3-30B-A3B-GGUF,Quantized,Qwen/Qwen3-30B-A3B-Base,IS_QUANTIZED_FROM,1,Qwen/Qwen3-30B-A3B-Base,code generation,code generation,software implementation,software implementation
Utkarsh524/codellama_misra-c_finetuned_full_model_1,codellama_misra-c_finetuned_full_model_1,Fine-tuned,codellama/CodeLlama-7b-Instruct-hf,IS_FINETUNED_FROM,1,codellama/CodeLlama-7b-Instruct-hf,code review; static analysis,code review; static analysis,software quality assurance; software maintenance,software quality assurance; software maintenance
ValiantLabs/Qwen3-4B-Thinking-2507-Esper3.1,Qwen3-4B-Thinking-2507-Esper3.1,Fine-tuned,Qwen/Qwen3-4B-Thinking-2507,IS_FINETUNED_FROM,1,Qwen/Qwen3-4B-Thinking-2507,coding,coding,software implementation,software implementation
VidhuMathur/bart-log-summarization,bart-log-summarization,Fine-tuned,facebook/bart-base,IS_FINETUNED_FROM,1,facebook/bart-base,logging,logging,software maintenance,software maintenance
Vishva007/Qwen3-4B-Instruct-2507-W4A16-AutoRound-AWQ,Qwen3-4B-Instruct-2507-W4A16-AutoRound-AWQ,Quantized,Qwen/Qwen3-4B-Instruct-2507,IS_QUANTIZED_FROM,1,Qwen/Qwen3-4B-Instruct-2507,code generation,code generation,software implementation,software implementation
Vittal-M/Qwen2.5-3B-MCP-Pentest,Qwen2.5-3B-MCP-Pentest,Adapter,Qwen/Qwen2.5-3B,IS_ADAPTER_OF,1,Qwen/Qwen2.5-3B,verification; static analysis; construction for security,verification; static analysis; construction for security,software quality assurance,software quality assurance
Von-R/VerilogProtoToken,VerilogProtoToken,Fine-tuned,openai-community/gpt2,IS_FINETUNED_FROM,1,openai-community/gpt2,code completion,code completion,software implementation,software implementation
WinkingFace/Mit-ThinkDeeply-0.5B-gguf,Mit-ThinkDeeply-0.5B-gguf,Fine-tuned,autogluon/mitra-regressor,IS_FINETUNED_FROM,1,autogluon/mitra-regressor,code generation,code generation,software implementation,software implementation
WizardLMTeam/WizardCoder-15B-V1.0,WizardCoder-15B-V1.0,Fine-tuned,bigcode/starcoder,IS_FINETUNED_FROM,1,bigcode/starcoder,coding; code completion,coding; code completion,software implementation,software implementation
WizardLMTeam/WizardCoder-33B-V1.1,WizardCoder-33B-V1.1,Fine-tuned,deepseek-ai/deepseek-coder-33b-base,IS_FINETUNED_FROM,1,deepseek-ai/deepseek-coder-33b-base,code generation,code generation,software implementation,software implementation
Wolf-moon/smart_contact_scam_detecting,smart_contact_scam_detecting,Fine-tuned,microsoft/graphcodebert-base,IS_FINETUNED_FROM,1,microsoft/graphcodebert-base,vulnerability detection,vulnerability detection,software quality assurance,software quality assurance
XAgentTeam/XAgentLLaMa-34B-preview,XAgentLLaMa-34B-preview,Fine-tuned,codellama/CodeLlama-34b-hf,IS_FINETUNED_FROM,1,codellama/CodeLlama-34b-hf,code completion,code completion,software implementation,software implementation
XeAI/LLaMa_3.2_3B_Instruct_Text2SQL_Legacy,LLaMa_3.2_3B_Instruct_Text2SQL_Legacy,Fine-tuned,meta-llama/Llama-3.2-3B-Instruct,IS_FINETUNED_FROM,1,meta-llama/Llama-3.2-3B-Instruct,data analysis,data analysis,software implementation,software implementation
Xenova/phi-1_5_dev,phi-1_5_dev,Quantized,susnato/phi-1_5_dev,IS_QUANTIZED_FROM,1,susnato/phi-1_5_dev,code completion,code completion,software implementation,software implementation
XeroCodes/kairos-gguf,kairos-gguf,Adapter,unsloth/codegemma-2b-bnb-4bit,IS_ADAPTER_OF,1,unsloth/codegemma-2b-bnb-4bit,code generation; code completion,code generation; code completion,software implementation,software implementation
Xian-luo-po/Qwen3-4B,Qwen3-4B,Fine-tuned,Qwen/Qwen3-4B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-4B-Base,code generation,code generation,software implementation,software implementation
XuRay/Qwen3-0.8B,Qwen3-0.8B,Fine-tuned,Qwen/Qwen3-0.6B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-0.6B-Base,code generation,code generation,software implementation,software implementation
YY029/w-2-14-40-11-10,w-2-14-40-11-10,Fine-tuned,Qwen/Qwen3-0.6B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-0.6B-Base,code generation,code generation,software implementation,software implementation
YY029/w-2-21-25-11-18,w-2-21-25-11-18,Fine-tuned,Qwen/Qwen3-0.6B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-0.6B-Base,code generation,code generation,software implementation,software implementation
Yagaoo/Qwen3-1.7B,Qwen3-1.7B,Fine-tuned,Qwen/Qwen3-1.7B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-1.7B-Base,code generation,code generation,software implementation,software implementation
YorkieOH10/AlchemistCoder-DS-6.7B-Q8_0-GGUF,AlchemistCoder-DS-6.7B-Q8_0-GGUF,Quantized,internlm/AlchemistCoder-DS-6.7B,IS_QUANTIZED_FROM,1,internlm/AlchemistCoder-DS-6.7B,code generation,code generation,software implementation,software implementation
YorkieOH10/starcoder2-15b-instruct-v0.1-Q8_0-GGUF,starcoder2-15b-instruct-v0.1-Q8_0-GGUF,Quantized,bigcode/starcoder2-15b,IS_QUANTIZED_FROM,1,bigcode/starcoder2-15b,code generation,code generation,software implementation,software implementation
Zen0/Vulnerable-Edu-Qwen3B,Vulnerable-Edu-Qwen3B,Adapter,Qwen/Qwen2.5-3B,IS_ADAPTER_OF,1,Qwen/Qwen2.5-3B,construction for security,construction for security,software quality assurance,software quality assurance
ZhenlongDai/AdaPatcher,AdaPatcher,Fine-tuned,meta-llama/CodeLlama-7b-Instruct-hf,IS_FINETUNED_FROM,1,meta-llama/CodeLlama-7b-Instruct-hf,debugging; program repair; bug localization,debugging; program repair; bug localization,software quality assurance; software maintenance,software quality assurance; software maintenance
ZuzeTt/Qwen3-VL-4B-Instruct-heretic-GGUF,Qwen3-VL-4B-Instruct-heretic-GGUF,Quantized,Qwen/Qwen3-VL-4B-Instruct,IS_QUANTIZED_FROM,1,Qwen/Qwen3-VL-4B-Instruct,code generation,code generation,software implementation,software implementation
ZuzeTt/Qwen3-VL-4B-Thinking-heretic-imatrix-GGUF,Qwen3-VL-4B-Thinking-heretic-imatrix-GGUF,Quantized,Qwen/Qwen3-VL-4B-Thinking,IS_QUANTIZED_FROM,1,Qwen/Qwen3-VL-4B-Thinking,code generation,code generation,software implementation,software implementation
ZuzeTt/Qwen3-VL-8B-Thinking-Imatrix-heretic,Qwen3-VL-8B-Thinking-Imatrix-heretic,Fine-tuned,Qwen/Qwen3-VL-8B-Thinking,IS_FINETUNED_FROM,1,Qwen/Qwen3-VL-8B-Thinking,code generation,code generation,software implementation,software implementation
ZuzeTt/Qwen3-VL-8B-Thinking-heretic,Qwen3-VL-8B-Thinking-heretic,Fine-tuned,Qwen/Qwen3-VL-8B-Thinking,IS_FINETUNED_FROM,1,Qwen/Qwen3-VL-8B-Thinking,code generation,code generation,software implementation,software implementation
ZuzeTt/granite-4.0-h-tiny-imatrix-GGUF,granite-4.0-h-tiny-imatrix-GGUF,Fine-tuned,ibm-granite/granite-4.0-h-tiny-base,IS_FINETUNED_FROM,1,ibm-granite/granite-4.0-h-tiny-base,code completion,code completion,software implementation,software implementation
aarnphm/phi-4-reasoning-plus-sharded-tp2,phi-4-reasoning-plus-sharded-tp2,Fine-tuned,microsoft/phi-4,IS_FINETUNED_FROM,1,microsoft/phi-4,code generation,code generation,software implementation,software implementation
abhishekchohan/Qwen3-VL-32B-Instruct-AWQ,Qwen3-VL-32B-Instruct-AWQ,Quantized,Qwen/Qwen3-VL-32B-Instruct,IS_QUANTIZED_FROM,1,Qwen/Qwen3-VL-32B-Instruct,code generation,code generation,software implementation,software implementation
acecalisto3/PhiCo-D-Instruck,PhiCo-D-Instruck,Fine-tuned,google-t5/t5-base,IS_FINETUNED_FROM,1,google-t5/t5-base,code generation,code generation,software implementation,software implementation
activebus/BERT-XD_Review,BERT-XD_Review,Fine-tuned,google-bert/bert-base-uncased,IS_FINETUNED_FROM,1,google-bert/bert-base-uncased,sentiment analysis,sentiment analysis,software maintenance,software maintenance
activebus/BERT_Review,BERT_Review,Fine-tuned,google-bert/bert-base-uncased,IS_FINETUNED_FROM,1,google-bert/bert-base-uncased,sentiment analysis,sentiment analysis,software maintenance,software maintenance
adeleoromni/m7_11_24,m7_11_24,Fine-tuned,Qwen/Qwen3-0.6B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-0.6B-Base,code generation,code generation,software implementation,software implementation
adeleoromni/m7_11_26,m7_11_26,Fine-tuned,Qwen/Qwen3-0.6B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-0.6B-Base,code generation,code generation,software implementation,software implementation
adityakum667388/LumiChats-Instruct-4B_lora,LumiChats-Instruct-4B_lora,Adapter,microsoft/phi-4,IS_ADAPTER_OF,1,microsoft/phi-4,code generation,code generation,software implementation,software implementation
afrideva/Mermaid-Llama-3-5B-Pruned-GGUF,Mermaid-Llama-3-5B-Pruned-GGUF,Quantized,TroyDoesAI/Mermaid-Llama-3-5B-Pruned,IS_QUANTIZED_FROM,1,TroyDoesAI/Mermaid-Llama-3-5B-Pruned,code understanding; data analysis,code understanding; data analysis,software implementation,software implementation
afrideva/Mermaid-Llama-6.7B-RAG-Code-Instruct-GGUF,Mermaid-Llama-6.7B-RAG-Code-Instruct-GGUF,Quantized,TroyDoesAI/Mermaid-Llama-6.7B-RAG-Code-Instruct,IS_QUANTIZED_FROM,1,TroyDoesAI/Mermaid-Llama-6.7B-RAG-Code-Instruct,code understanding,code understanding,software implementation,software implementation
afx-team/UI-UG-7B-2601,UI-UG-7B-2601,Fine-tuned,Qwen/Qwen2.5-VL-7B-Instruct,IS_FINETUNED_FROM,1,Qwen/Qwen2.5-VL-7B-Instruct,code generation,code generation,software implementation,software implementation
ai-team-20/kimi-dev-72b-1,kimi-dev-72b-1,Fine-tuned,Qwen/Qwen2.5-72B,IS_FINETUNED_FROM,1,Qwen/Qwen2.5-72B,coding,coding,software implementation,software implementation
ai-team-20/kimi-dev-72b-2,kimi-dev-72b-2,Fine-tuned,Qwen/Qwen2.5-72B,IS_FINETUNED_FROM,1,Qwen/Qwen2.5-72B,coding,coding,software implementation,software implementation
ai-team-20/kimi-dev-72b-3,kimi-dev-72b-3,Fine-tuned,Qwen/Qwen2.5-72B,IS_FINETUNED_FROM,1,Qwen/Qwen2.5-72B,coding,coding,software implementation,software implementation
aieng-lab/Llama-3.2-1B_requirement-type,Llama-3.2-1B_requirement-type,Fine-tuned,meta-llama/Llama-3.2-1B,IS_FINETUNED_FROM,1,meta-llama/Llama-3.2-1B,requirements specification,requirements specification,requirements engineering,requirements engineering
aieng-lab/ModernBERT-large_requirement-completion,ModernBERT-large_requirement-completion,Fine-tuned,answerdotai/ModernBERT-large,IS_FINETUNED_FROM,1,answerdotai/ModernBERT-large,requirements specification,requirements specification,requirements engineering,requirements engineering
aiplanet/panda-coder-13B,panda-coder-13B,Fine-tuned,codellama/CodeLlama-13b-Instruct-hf,IS_FINETUNED_FROM,1,codellama/CodeLlama-13b-Instruct-hf,code generation,code generation,software implementation,software implementation
aiqtech/GLM-4.6,GLM-4.6,Fine-tuned,zai-org/GLM-4.5,IS_FINETUNED_FROM,1,zai-org/GLM-4.5,coding,coding,software implementation,software implementation
aiqtech/granite-4.0-1b,granite-4.0-1b,Fine-tuned,ibm-granite/granite-4.0-1b-base,IS_FINETUNED_FROM,1,ibm-granite/granite-4.0-1b-base,code completion,code completion,software implementation,software implementation
aiqtech/granite-4.0-350m,granite-4.0-350m,Fine-tuned,ibm-granite/granite-4.0-350m-base,IS_FINETUNED_FROM,1,ibm-granite/granite-4.0-350m-base,code completion,code completion,software implementation,software implementation
aiqtech/granite-4.0-h-1b,granite-4.0-h-1b,Fine-tuned,ibm-granite/granite-4.0-h-1b-base,IS_FINETUNED_FROM,1,ibm-granite/granite-4.0-h-1b-base,code completion,code completion,software implementation,software implementation
aiqtech/granite-4.0-h-350m,granite-4.0-h-350m,Fine-tuned,ibm-granite/granite-4.0-h-350m-base,IS_FINETUNED_FROM,1,ibm-granite/granite-4.0-h-350m-base,code completion,code completion,software implementation,software implementation
ajibawa-2023/Code-290k-13B,Code-290k-13B,Fine-tuned,meta-llama/Llama-2-13b,IS_FINETUNED_FROM,1,meta-llama/Llama-2-13b,code generation,code generation,software implementation,software implementation
akiray1/Qwen3-8B-rope175-2,Qwen3-8B-rope175-2,Fine-tuned,Qwen/Qwen3-8B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-8B-Base,code generation,code generation,software implementation,software implementation
alexwirrell/Qwen3-1.7B-heretic,Qwen3-1.7B-heretic,Fine-tuned,Qwen/Qwen3-1.7B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-1.7B-Base,code generation,code generation,software implementation,software implementation
allenai/open-instruct-code-alpaca-13b,open-instruct-code-alpaca-13b,Fine-tuned,huggyllama/llama-13b,IS_FINETUNED_FROM,1,huggyllama/llama-13b,coding; code generation,coding; code generation,software implementation,software implementation
allenai/open-instruct-code-alpaca-7b,open-instruct-code-alpaca-7b,Fine-tuned,huggyllama/llama-7b,IS_FINETUNED_FROM,1,huggyllama/llama-7b,coding; code generation,coding; code generation,software implementation,software implementation
alpindale/c4ai-command-r-plus-GPTQ,c4ai-command-r-plus-GPTQ,Quantized,CohereLabs/c4ai-command-r-plus,IS_QUANTIZED_FROM,1,CohereLabs/c4ai-command-r-plus,code completion,code completion,software implementation,software implementation
amgharhind/srd2plantUml_codet5base_V2,srd2plantUml_codet5base_V2,Fine-tuned,Salesforce/codet5-base,IS_FINETUNED_FROM,1,Salesforce/codet5-base,software requirement; system design; software design; code understanding,software requirement; system design; software design; code understanding,requirements engineering; software design; software implementation,requirements engineering; software design; software implementation
amrmantawi/Qwen3-4B-Instruct-2507-rk3588-1.2.2,Qwen3-4B-Instruct-2507-rk3588-1.2.2,Quantized,Qwen/Qwen3-4B-Instruct-2507,IS_QUANTIZED_FROM,1,Qwen/Qwen3-4B-Instruct-2507,code generation,code generation,software implementation,software implementation
anhdt-dsai-02/sentiment_oversampling_25_12,sentiment_oversampling_25_12,Fine-tuned,VietAI/vit5-base,IS_FINETUNED_FROM,1,VietAI/vit5-base,sentiment analysis,sentiment analysis,software maintenance,software maintenance
aniketp2009gmail/phi3-bilora-code-review,phi3-bilora-code-review,Adapter,microsoft/Phi-3-mini-4k-instruct,IS_ADAPTER_OF,1,microsoft/Phi-3-mini-4k-instruct,code generation,code generation,software implementation,software implementation
ankit-ml11/automerge-codet5,automerge-codet5,Fine-tuned,Salesforce/codet5-small,IS_FINETUNED_FROM,1,Salesforce/codet5-small,code generation; code review; program repair,code generation; code review; program repair,software implementation; software maintenance,software implementation; software maintenance
ankur-bohra/OpenCoder-1.5B-Instruct,OpenCoder-1.5B-Instruct,Fine-tuned,infly/OpenCoder-1.5B-Base,IS_FINETUNED_FROM,1,infly/OpenCoder-1.5B-Base,code generation,code generation,software implementation,software implementation
anonICPC/ReIdentify,ReIdentify,Fine-tuned,microsoft/graphcodebert-base,IS_FINETUNED_FROM,1,microsoft/graphcodebert-base,code completion,code completion,software implementation,software implementation
antericinfo/qwen3mini,qwen3mini,Fine-tuned,Qwen/Qwen3-0.6B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-0.6B-Base,code generation,code generation,software implementation,software implementation
anubhav200/Qwen3-0.6B-openvino-int4,Qwen3-0.6B-openvino-int4,Fine-tuned,Qwen/Qwen3-0.6B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-0.6B-Base,code generation,code generation,software implementation,software implementation
apcl/jam_sojm,jam_sojm,Fine-tuned,openai-community/gpt2,IS_FINETUNED_FROM,1,openai-community/gpt2,code completion,code completion,software implementation,software implementation
arcee-ai/Virtuoso-Small-v2,Virtuoso-Small-v2,Fine-tuned,Qwen/Qwen2.5-14B,IS_FINETUNED_FROM,1,Qwen/Qwen2.5-14B,code generation,code generation,software implementation,software implementation
arnomatic/Qwen3-0.6B-heretic,Qwen3-0.6B-heretic,Fine-tuned,Qwen/Qwen3-0.6B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-0.6B-Base,code generation,code generation,software implementation,software implementation
arnomatic/Qwen3-4B-Instruct-2507-heretic-av2,Qwen3-4B-Instruct-2507-heretic-av2,Fine-tuned,Qwen/Qwen3-4B-Instruct-2507,IS_FINETUNED_FROM,1,Qwen/Qwen3-4B-Instruct-2507,code generation,code generation,software implementation,software implementation
arnoxide/boxcode-model,boxcode-model,Fine-tuned,microsoft/CodeGPT-small-java-adaptedGPT2,IS_FINETUNED_FROM,1,microsoft/CodeGPT-small-java-adaptedGPT2,code understanding,code understanding,software implementation,software implementation
artificialguybr/llama3-8b-redmond-code290k,llama3-8b-redmond-code290k,Fine-tuned,NousResearch/Meta-Llama-3-8B,IS_FINETUNED_FROM,1,NousResearch/Meta-Llama-3-8B,code generation,code generation,software implementation,software implementation
artificialguybr/llama3-8b-sql-create-context,llama3-8b-sql-create-context,Fine-tuned,NousResearch/Meta-Llama-3-8B,IS_FINETUNED_FROM,1,NousResearch/Meta-Llama-3-8B,data analysis,data analysis,software implementation,software implementation
arunimas1107/anomalydetectionmodel,anomalydetectionmodel,Fine-tuned,amaye15/autoencoder,IS_FINETUNED_FROM,1,amaye15/autoencoder,defect detection,defect detection,software quality assurance,software quality assurance
arvindkaphley/finetune_starcoder2_with_Ruby_Data,finetune_starcoder2_with_Ruby_Data,Adapter,bigcode/starcoder2-3b,IS_ADAPTER_OF,1,bigcode/starcoder2-3b,code generation; code completion,code generation; code completion,software implementation,software implementation
as77/model_D,model_D,Adapter,NousResearch/Llama-2-7b-hf,IS_ADAPTER_OF,1,NousResearch/Llama-2-7b-hf,code generation,code generation,software implementation,software implementation
ashaduzzaman/gpt2-finetuned-codeparrot,gpt2-finetuned-codeparrot,Fine-tuned,openai-community/gpt2,IS_FINETUNED_FROM,1,openai-community/gpt2,code generation; code completion,code generation; code completion,software implementation,software implementation
ashrielbrian/jina-embeddings-v4,jina-embeddings-v4,Fine-tuned,Qwen/Qwen2.5-VL-3B-Instruct,IS_FINETUNED_FROM,1,Qwen/Qwen2.5-VL-3B-Instruct,code understanding; code search,code understanding; code search,software implementation,software implementation
ashwinR/CodeExplainer,CodeExplainer,Fine-tuned,Salesforce/codet5-large,IS_FINETUNED_FROM,1,Salesforce/codet5-large,code understanding,code understanding,software implementation,software implementation
asigalov61/Qwen3-14B-heretic,Qwen3-14B-heretic,Fine-tuned,Qwen/Qwen3-14B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-14B-Base,code generation,code generation,software implementation,software implementation
askalgore/Phi-3-medium-4k-instruct-heretic,Phi-3-medium-4k-instruct-heretic,Fine-tuned,microsoft/Phi-3-medium-4k-instruct,IS_FINETUNED_FROM,1,microsoft/Phi-3-medium-4k-instruct,coding; code generation,coding; code generation,software implementation,software implementation
askalgore/Phi-3.5-mini-instruct-heretic,Phi-3.5-mini-instruct-heretic,Fine-tuned,microsoft/Phi-3.5-mini-instruct,IS_FINETUNED_FROM,1,microsoft/Phi-3.5-mini-instruct,code understanding; coding; code generation,code understanding; coding; code generation,software implementation,software implementation
askalgore/Phi-4-reasoning-heretic,Phi-4-reasoning-heretic,Fine-tuned,microsoft/phi-4,IS_FINETUNED_FROM,1,microsoft/phi-4,coding; code generation,coding; code generation,software implementation,software implementation
askalgore/llama-3.2-3b-A1.5,llama-3.2-3b-A1.5,Adapter,meta-llama/Llama-3.2-3B,IS_ADAPTER_OF,1,meta-llama/Llama-3.2-3B,verification; code generation; static analysis; decompilation,verification; code generation; static analysis; decompilation,software implementation; software quality assurance,software implementation; software quality assurance
askalgore/phi-4-heretic,phi-4-heretic,Fine-tuned,microsoft/phi-4,IS_FINETUNED_FROM,1,microsoft/phi-4,coding; code generation,coding; code generation,software implementation,software implementation
asmud/ds4sd-CodeFormula-onnx,ds4sd-CodeFormula-onnx,Quantized,docling-project/CodeFormula,IS_QUANTIZED_FROM,1,docling-project/CodeFormula,coding,coding,software implementation,software implementation
async0x42/Qwen3-235B-A22B-Thinking-2507-exl3_3.5bpw,Qwen3-235B-A22B-Thinking-2507-exl3_3.5bpw,Quantized,Qwen/Qwen3-235B-A22B-Thinking-2507,IS_QUANTIZED_FROM,1,Qwen/Qwen3-235B-A22B-Thinking-2507,code generation,code generation,software implementation,software implementation
async0x42/Qwen3-30B-A3B-Instruct-2507-exl3_4.5bpw,Qwen3-30B-A3B-Instruct-2507-exl3_4.5bpw,Quantized,Qwen/Qwen3-30B-A3B-Instruct-2507,IS_QUANTIZED_FROM,1,Qwen/Qwen3-30B-A3B-Instruct-2507,code generation,code generation,software implementation,software implementation
async0x42/Qwen3-30B-A3B-Thinking-2507-exl3_4.5bpw,Qwen3-30B-A3B-Thinking-2507-exl3_4.5bpw,Quantized,Qwen/Qwen3-30B-A3B-Thinking-2507,IS_QUANTIZED_FROM,1,Qwen/Qwen3-30B-A3B-Thinking-2507,code generation,code generation,software implementation,software implementation
async0x42/Qwen3-Coder-30B-A3B-Instruct-exl3_4.5bpw,Qwen3-Coder-30B-A3B-Instruct-exl3_4.5bpw,Quantized,Qwen/Qwen3-Coder-30B-A3B-Instruct,IS_QUANTIZED_FROM,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,code generation,code generation,software implementation,software implementation
audicarkey/llama2-smart-contract-vulnerability-detector,llama2-smart-contract-vulnerability-detector,Fine-tuned,NousResearch/Llama-2-7b-chat-hf,IS_FINETUNED_FROM,1,NousResearch/Llama-2-7b-chat-hf,vulnerability detection,vulnerability detection,software quality assurance,software quality assurance
ayameRushia/indobert-lite-base-p2-sentiment-analysis-smsa-google-play-review,indobert-lite-base-p2-sentiment-analysis-smsa-google-play-review,Quantized,indobenchmark/indobert-lite-base-p2,IS_QUANTIZED_FROM,1,indobenchmark/indobert-lite-base-p2,sentiment analysis,sentiment analysis,software maintenance,software maintenance
ayan-sh003/phi3.5-phunction-calling,phi3.5-phunction-calling,Fine-tuned,microsoft/Phi-3.5-mini-instruct,IS_FINETUNED_FROM,1,microsoft/Phi-3.5-mini-instruct,code generation,code generation,software implementation,software implementation
bartowski/AlchemistCoder-CL-7B-GGUF,AlchemistCoder-CL-7B-GGUF,Quantized,internlm/AlchemistCoder-CL-7B,IS_QUANTIZED_FROM,1,internlm/AlchemistCoder-CL-7B,code generation,code generation,software implementation,software implementation
bartowski/AlchemistCoder-DS-6.7B-GGUF,AlchemistCoder-DS-6.7B-GGUF,Quantized,internlm/AlchemistCoder-DS-6.7B,IS_QUANTIZED_FROM,1,internlm/AlchemistCoder-DS-6.7B,code generation,code generation,software implementation,software implementation
bartowski/AlchemistCoder-L-7B-GGUF,AlchemistCoder-L-7B-GGUF,Quantized,internlm/AlchemistCoder-L-7B,IS_QUANTIZED_FROM,1,internlm/AlchemistCoder-L-7B,code generation,code generation,software implementation,software implementation
bartowski/starcoder2-15b-instruct-v0.1-GGUF,starcoder2-15b-instruct-v0.1-GGUF,Quantized,bigcode/starcoder2-15b,IS_QUANTIZED_FROM,1,bigcode/starcoder2-15b,coding; code generation,coding; code generation,software implementation,software implementation
bartowski/starcoder2-15b-instruct-v0.1-exl2,starcoder2-15b-instruct-v0.1-exl2,Fine-tuned,bigcode/starcoder2-15b,IS_FINETUNED_FROM,1,bigcode/starcoder2-15b,coding; code generation,coding; code generation,software implementation,software implementation
barty/CodeLlama-13B-MORepair,CodeLlama-13B-MORepair,Fine-tuned,codellama/CodeLlama-13b-Instruct-hf,IS_FINETUNED_FROM,1,codellama/CodeLlama-13b-Instruct-hf,program repair,program repair,software maintenance,software maintenance
benediktstroebl/Qwen3-32B-unsloth-bnb-4bit,Qwen3-32B-unsloth-bnb-4bit,Quantized,Qwen/Qwen3-32B,IS_QUANTIZED_FROM,1,Qwen/Qwen3-32B,code generation,code generation,software implementation,software implementation
berhaan/kumru-2b-codealpaca,kumru-2b-codealpaca,Fine-tuned,vngrs-ai/Kumru-2B-Base,IS_FINETUNED_FROM,1,vngrs-ai/Kumru-2B-Base,code generation,code generation,software implementation,software implementation
bhargavcn/code-gen-gpt2,code-gen-gpt2,Adapter,openai-community/gpt2,IS_ADAPTER_OF,1,openai-community/gpt2,code generation,code generation,software implementation,software implementation
bhargavcn/simple-finetuned-gpt2,simple-finetuned-gpt2,Adapter,openai-community/gpt2,IS_ADAPTER_OF,1,openai-community/gpt2,code generation,code generation,software implementation,software implementation
bigcode/astraios-lora,astraios-lora,Fine-tuned,bigcode/starcoderbase,IS_FINETUNED_FROM,1,bigcode/starcoderbase,code generation; defect detection,code generation; defect detection,software implementation; software quality assurance,software implementation; software quality assurance
bigcode/starcoder2-15b-instruct-v0.1,starcoder2-15b-instruct-v0.1,Fine-tuned,bigcode/starcoder2-15b,IS_FINETUNED_FROM,1,bigcode/starcoder2-15b,coding; code generation,coding; code generation,software implementation,software implementation
bigcode/starpii,starpii,Fine-tuned,bigcode/starencoder,IS_FINETUNED_FROM,1,bigcode/starencoder,code generation,code generation,software implementation,software implementation
bigcode/tiny_starcoder_py,tiny_starcoder_py,Fine-tuned,bigcode/starcoder,IS_FINETUNED_FROM,1,bigcode/starcoder,code completion,code completion,software implementation,software implementation
biglab/uiclip_jitteredwebsites-2-224-paraphrased,uiclip_jitteredwebsites-2-224-paraphrased,Fine-tuned,openai/clip-vit-base-patch32,IS_FINETUNED_FROM,1,openai/clip-vit-base-patch32,code generation,code generation,software implementation,software implementation
bigscience/bloomz,bloomz,Fine-tuned,bigscience/bloom,IS_FINETUNED_FROM,1,bigscience/bloom,program synthesis,program synthesis,software implementation,software implementation
blackbook-lm/Qwen3-0.6B-heretic,Qwen3-0.6B-heretic,Fine-tuned,Qwen/Qwen3-0.6B-Base,IS_FINETUNED_FROM,1,Qwen/Qwen3-0.6B-Base,code generation,code generation,software implementation,software implementation
