base_model,n_derived_models,share_pct,cumulative_pct,rank,n_tasks,n_activities,tasks
NousResearch/Meta-Llama-3-8B-Instruct,1,0.03,102.47,567,2,1,code completion; code generation
NousResearch/Meta-Llama-3.1-8B-Instruct,1,0.03,102.5,568,2,1,code completion; code generation
docling-project/CodeFormula,1,0.03,102.53,569,1,1,coding
NumbersStation/nsql-350M,1,0.03,102.56,570,1,1,data analysis
NyxKrage/Microsoft_Phi-4,1,0.03,102.59,571,1,1,code generation
Qwen/Qwen3-VL-235B-A22B-Instruct,1,0.03,102.62,572,1,1,code generation
OEvortex/Emotional-llama-8B,1,0.03,102.65,573,2,1,code completion; code generation
distilbert/distilbert-base-cased,1,0.03,102.68,574,1,1,coreference detection
OrcaDB/gte-base-en-v1.5,1,0.03,102.71,575,2,1,code generation; coding
Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2,1,0.03,102.74,576,2,1,code completion; code generation
OwenArli/ArliAI-Llama-3-8B-Cumulus-v1.0,1,0.03,102.77,577,2,1,code completion; code generation
Pinkstack/Fijik1.5-2.6b-a380m-base,1,0.03,102.8,578,2,1,code generation; coding
Qwen/Qwen1.5-7B-Chat,1,0.03,102.83,579,1,1,code generation
Qwen/Qwen3-Coder-Next,1,0.03,102.86,580,1,1,code editing
Qwen/Qwen3-Next-80B-A3B-Thinking,1,0.03,102.89,581,1,1,coding
Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,1,0.03,102.92,582,2,1,code generation; coding
deepseek-ai/DeepSeek-V2,1,0.03,102.95,583,1,1,code completion
bunnycore/Llama-3.2-3B-science-lora_model,1,0.03,102.98,584,1,1,code generation
bunnycore/Llama-3.2-3B-Long-Think-lora_model,1,0.03,103.01,585,1,1,code generation
bunnycore/Llama-3.2-3B-Code-lora_model,1,0.03,103.04,586,1,1,code generation
Tongyi-MAI/Z-Image-Turbo,1,0.03,103.07,587,1,1,logging
Solshine/reflection-llama-3.1-8B-Solshine-trainround1-16bit,1,0.03,103.1,588,2,1,code completion; code generation
albert/albert-base-v2,1,0.03,103.13,589,1,1,logging
SteelStorage/llama-3-cat-8b-instruct-v1,1,0.03,103.16,590,2,1,code completion; code generation
aifeifei798/llama3-8B-DarkIdol-2.1-Uncensored-32K,1,0.03,103.19,591,2,1,code completion; code generation
aifeifei798/llama3-8B-DarkIdol-1.0,1,0.03,103.22,592,2,1,code completion; code generation
StentorLabs/Stentor-30M,1,0.03,103.25,593,1,1,code generation
SuperAGI/SAM,1,0.03,103.28,594,2,2,code generation; rapid prototyping
a-m-team/AM-Thinking-v1,1,0.03,103.31,595,1,1,code generation
TIGER-Lab/MAmmoTH2-8B-Plus,1,0.03,103.34,596,2,1,code completion; code generation
TechxGenus/starcoder2-7b-instruct,1,0.03,103.37,597,1,1,coding
TheDrummer/Llama-3SOME-8B-v2,1,0.03,103.4,598,2,1,code completion; code generation
WizardLMTeam/WizardMath-70B-V1.0,1,0.03,103.43,599,1,1,architectural design
bunnycore/Llama-3.1-8b-smart-lora,1,0.03,103.46,600,2,1,code completion; code generation
WizardLM/WizardCoder-1B-V1.0,1,0.03,103.49,601,1,1,code summarization
WinkingFace/Mit-0.5B,1,0.03,103.52,602,1,1,code generation
WhiteRabbitNeo/WhiteRabbitNeo-33B-v1,1,0.03,103.55,603,1,1,cybersecurity
Tongyi-Zhiwen/QwenLong-L1.5-30B-A3B,1,0.03,103.58,604,1,1,data analysis
TroyDoesAI/Mermaid-Llama-3-5B-Pruned,1,0.03,103.61,605,2,1,code understanding; data analysis
TroyDoesAI/Mermaid-Llama-6.7B-RAG,1,0.03,103.64,606,1,1,code understanding
TroyDoesAI/Mermaid-Llama-6.7B-RAG-Code-Instruct,1,0.03,103.67,607,1,1,code understanding
Ultralytics/YOLO11,1,0.03,103.7,608,1,1,defect detection
Undi95/Unholy-8B-DPO-OAS,1,0.03,103.73,609,2,1,code completion; code generation
Undi95/Meta-Llama-3.1-8B-Claude,1,0.03,103.76,610,2,1,code completion; code generation
Undi95/Llama3-Unholy-8B-OAS,1,0.03,103.79,611,2,1,code completion; code generation
allenai/OLMoE-1B-7B-0125,1,0.03,103.82,612,1,1,code generation
Snowflake/snowflake-arctic-embed-l,1,0.03,103.85,613,1,1,code generation
allenai/Olmo-3-1125-32B,1,0.03,103.88,614,1,1,code generation
allenai/SERA-32B,1,0.03,103.91,615,1,1,code generation
bunnycore/Cognitron-8B,1,0.03,103.94,616,2,1,code completion; code generation
black-forest-labs/FLUX.1-dev,1,0.03,103.97,617,1,1,code generation
bigscience/bloomz-7b1-mt,1,0.03,104.0,618,1,1,program synthesis
bigscience/bloomz-560m,1,0.03,104.03,619,1,1,program synthesis
bigscience/bloomz-3b,1,0.03,104.06,620,1,1,program synthesis
bigscience/bloomz-1b7,1,0.03,104.09,621,1,1,program synthesis
bigscience/bloomz-1b1,1,0.03,104.12,622,1,1,program synthesis
bigcode/starencoder,1,0.03,104.15,623,1,1,code generation
Sao10K/L3-8B-Lunaris-v1,1,0.03,104.18,624,2,1,code completion; code generation
Sao10K/L3-8B-Niitama-v1,1,0.03,104.21,625,2,1,code completion; code generation
bigcode/santacoder,1,0.03,104.24,626,1,1,coding
Sao10K/L3-8B-Stheno-v3.1,1,0.03,104.27,627,2,1,code completion; code generation
Sao10K/L3-8B-Tamamo-v1,1,0.03,104.3,628,2,1,code completion; code generation
baidu/ERNIE-4.5-0.3B-Paddle,1,0.03,104.33,629,2,1,code generation; data analysis
Sao10K/Llama-3.1-8B-Stheno-v3.4,1,0.03,104.36,630,2,1,code completion; code generation
axolotl-ai-co/llama-3-8b-chatml,1,0.03,104.39,631,1,1,cybersecurity
athirdpath/Orca-2-13b-Alpaca-Uncensored,1,0.03,104.42,632,2,1,code generation; coding
arcee-ai/AFM-4.5B-Base,1,0.03,104.45,633,1,1,code generation
SenseLLM/ReflectionCoder-DS-6.7B,1,0.03,104.48,634,1,1,code generation
Severian/Nexus-IKM-Mistral-Instruct-v0.2-7B,1,0.03,104.51,635,1,1,coding
amaye15/autoencoder,1,0.03,104.54,636,1,1,defect detection
allura-forge/Llama-3.3-8B-Instruct,1,0.03,104.57,637,1,1,design pattern
allenai/longformer-base-4096,1,0.03,104.6,638,1,1,logging
facebook/bart-base,1,0.03,104.63,639,1,1,logging
facebook/bart-large-cnn,1,0.03,104.66,640,1,1,code generation
meta-llama/Llama-Guard-3-1B,1,0.03,104.69,641,1,1,cybersecurity
JetBrains/CodeLlama-7B-KStack,1,0.03,104.72,642,2,1,code completion; coding
kik41/lora-type-descriptive-llama-3-8b-v2,1,0.03,104.75,643,2,1,code completion; code generation
kik41/lora-length-long-llama-3-8b-v2,1,0.03,104.78,644,2,1,code completion; code generation
jaman21/Qwen3-4B-Instruct,1,0.03,104.81,645,1,1,coding
invisietch/EtherealRainbow-v0.3-8B,1,0.03,104.84,646,2,1,code completion; code generation
intfloat/multilingual-e5-base,1,0.03,104.87,647,2,1,security testing; verification
intfloat/e5-large-v2,1,0.03,104.9,648,1,1,static analysis
internlm/internlm2-chat-7b,1,0.03,104.93,649,1,1,data analysis
internlm/internlm2-base-20b,1,0.03,104.96,650,1,1,data analysis
IQuestLab/IQuest-Coder-V1-40B-Instruct,1,0.03,104.99,651,1,1,code representation
IQuestLab/IQuest-Coder-V1-40B-Loop-Instruct,1,0.03,105.02,652,1,1,code representation
JackFram/llama-68m,1,0.03,105.05,653,1,1,software testing
internlm/AlchemistCoder-CL-7B,1,0.03,105.08,654,1,1,code generation
kromcomp/L3-Ceto-Epith-Humanity-v0.1-8B,1,0.03,105.11,655,2,1,code completion; code generation
JetBrains/Mellum-4b-base,1,0.03,105.14,656,1,1,code completion
indobenchmark/indobert-lite-base-p2,1,0.03,105.17,657,1,1,sentiment analysis
inclusionAI/Ling-mini-base-2.0-20T,1,0.03,105.2,658,1,1,code generation
inclusionAI/Ling-mini-base-2.0,1,0.03,105.23,659,1,1,coding
inclusionAI/Ling-flash-base-2.0,1,0.03,105.26,660,1,1,code generation
inclusionAI/Ling-Coder-lite-base,1,0.03,105.29,661,1,1,coding
inceptionai/jais-30b-v3,1,0.03,105.32,662,1,1,code generation
ibm/PowerMoE-3b,1,0.03,105.35,663,1,1,code generation
ibm-research/PowerMoE-3b,1,0.03,105.38,664,1,1,code generation
Joe-ds/tinylama-1.1b-chat-guanaco,1,0.03,105.41,665,1,1,code generation
Keynote-Technology/KAI-7B-v0.1,1,0.03,105.44,666,1,1,coding
kik41/lora-type-narrative-llama-3-8b-v2,1,0.03,105.47,667,2,1,code completion; code generation
lightonai/ColBERT-Zero,1,0.03,105.5,668,1,1,code search
facebook/cwm,1,0.03,105.53,669,2,1,code generation; coding
HPAI-BSC/Llama3-Aloe-8B-Alpha,1,0.03,105.56,670,2,1,code completion; code generation
EleutherAI/pythia-70m,1,0.03,105.59,671,1,1,logging
Endevor/InfinityRP-v2-8B,1,0.03,105.62,672,2,1,code completion; code generation
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1,1,0.03,105.65,673,2,1,code completion; code generation
EuroBERT/EuroBERT-210m,1,0.03,105.68,674,1,1,code generation
FPHam/L3-8B-Everything-COT,1,0.03,105.71,675,2,1,code completion; code generation
FacebookAI/roberta-large,1,0.03,105.74,676,1,1,sentiment analysis
Undi95/Llama-3-LewdPlay-8B,1,0.03,105.77,677,2,1,code completion; code generation
FuseAI/FuseChat-Llama-3.1-8B-SFT,1,0.03,105.8,678,2,1,code completion; code generation
meta-llama/Llama-2-70b,1,0.03,105.83,679,1,1,architectural design
GSAI-ML/LLaDA-8B-Base,1,0.03,105.86,680,1,1,code generation
GroNLP/bert-base-dutch-cased,1,0.03,105.89,681,1,1,software requirement
Hastagaras/Anjir-8B-L3,1,0.03,105.92,682,2,1,code completion; code generation
HelloKKMe/GTA1-7B,1,0.03,105.95,683,1,1,gui testing
meta-llama/CodeLlama-13b-Instruct-hf,1,0.03,105.98,684,1,1,coding
md-nishat-008/TigerLLM-9B-it,1,0.03,106.01,685,2,1,code generation; coding
md-nishat-008/TigerLLM-1B-it,1,0.03,106.04,686,2,1,code generation; coding
malteos/bloom-6b4-clp-german,1,0.03,106.07,687,1,1,code generation
Hastagaras/Halu-OAS-8B-Llama3,1,0.03,106.1,688,2,1,code completion; code generation
maldv/badger-lambda-llama-3-8b,1,0.03,106.13,689,1,1,code generation
m-a-p/OpenCodeInterpreter-DS-1.3B,1,0.03,106.16,690,1,1,code generation
lodrick-the-lafted/Olethros-8B,1,0.03,106.19,691,2,1,code completion; code generation
lodrick-the-lafted/Limon-8B,1,0.03,106.22,692,2,1,code completion; code generation
Hastagaras/Jamet-8B-L3-MK.V-Blackroot,1,0.03,106.25,693,2,1,code completion; code generation
liuhaotian/llava-v1.6-vicuna-13b,1,0.03,106.28,694,1,1,code generation
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1,0.03,106.31,695,1,1,coding
LGAI-EXAONE/EXAONE-3.5-32B-Instruct,1,0.03,106.34,696,1,1,coding
LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,1,0.03,106.37,697,1,1,coding
google/codegemma-1.1-2b,1,0.03,106.4,698,2,1,code completion; code generation
NeverSleep/Llama-3-Lumimaid-8B-v0.1-OAS,1,0.03,106.43,699,2,1,code completion; code generation
NeverSleep/Lumimaid-v0.2-8B,1,0.03,106.46,700,2,1,code completion; code generation
Nitral-AI/Hathor_RP-v.01-L3-8B,1,0.03,106.49,701,2,1,code completion; code generation
google/gemma-2-27b,1,0.03,106.52,702,1,1,code generation
google/functiongemma-270m-it,1,0.03,106.55,703,1,1,code generation
google/flan-t5-base,1,0.03,106.58,704,1,1,code generation
google/efficientnet-b0,1,0.03,106.61,705,1,1,defect detection
Nitral-AI/Hathor_Sofit-L3-8B-v1,1,0.03,106.64,706,2,1,code completion; code generation
google/codegemma-7b,1,0.03,106.67,707,2,1,code completion; code generation
Nitral-AI/Hathor_Stable-v0.2-L3-8B,1,0.03,106.7,708,2,1,code completion; code generation
google/codegemma-1.1-7b-it,1,0.03,106.73,709,1,1,code generation
Nitral-AI/Hathor_Tahsin-L3-8B-v0.85,1,0.03,106.76,710,2,1,code completion; code generation
LGAI-EXAONE/EXAONE-4.0-32B,1,0.03,106.79,711,1,1,code generation
Nitral-AI/Poppy_Porpoise-0.72-L3-8B,1,0.03,106.82,712,2,1,code completion; code generation
Nitral-AI/Poppy_Porpoise-1.0-L3-8B,1,0.03,106.85,713,2,1,code completion; code generation
google-bert/bert-large-uncased,1,0.03,106.88,714,1,1,sentiment analysis
NoesisLab/Kai-0.35B-Instruct,1,0.03,106.91,715,1,1,code generation
ghost-x/ghost-8b-beta,1,0.03,106.94,716,2,1,code completion; code generation
fxmeng/Mixtral-2x7B-Instruct-v0.1,1,0.03,106.97,717,1,1,code generation
fredzzp/open-dcoder-0.5B,1,0.03,107.0,718,1,1,code generation
NoesisLab/Kai-3B-Instruct,1,0.03,107.03,719,1,1,code generation
failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,1,0.03,107.06,720,2,1,code completion; code generation
failspy/Llama-3-8B-Instruct-MopeyMule,1,0.03,107.09,721,2,1,code completion; code generation
facebook/opt-350m,1,0.03,107.12,722,1,1,code generation
google/gemma-3-12b-pt,1,0.03,107.15,723,1,1,code generation
NeverSleep/Llama-3-Lumimaid-8B-v0.1,1,0.03,107.18,724,2,1,code completion; code generation
NTQAI/Nxcode-CQ-7B-orpo,1,0.03,107.21,725,3,1,code completion; code generation; coding
Multi-Domain-Expert-Learning/expert-pubmed_central,1,0.03,107.24,726,1,1,code generation
LH-Tech-AI/Apex-1-Instruct-350M,1,0.03,107.27,727,1,1,coding
LLM360/Crystal,1,0.03,107.3,728,1,1,coding
LLM4Binary/llm4decompile-22b-v2,1,0.03,107.33,729,1,1,decompilation
LLM4Binary/llm4decompile-6.7b-v1.5,1,0.03,107.36,730,1,1,debugging
LiquidAI/LFM2-2.6B,1,0.03,107.39,731,2,1,code generation; coding
LiquidAI/LFM2.5-1.2B-Base,1,0.03,107.42,732,1,1,code generation
Locutusque/Hyperion-2.1-Mistral-7B,1,0.03,107.45,733,1,1,coding
Locutusque/TinyMistral-248M-v2,1,0.03,107.48,734,1,1,code generation
MBZUAI/Llama-3-Nanda-10B-Chat,1,0.03,107.51,735,1,1,code generation
ibm-granite/granite-3.0-8b-base,1,0.03,107.54,736,1,1,verification
MagicalAlchemist/Apriel-1.6-15b-Thinker,1,0.03,107.57,737,1,1,design pattern
hyungtae/mpt-30b,1,0.03,107.6,738,1,1,code generation
huggyllama/llama-7b,1,0.03,107.63,739,2,1,code generation; coding
Maincode/Maincoder-1B,1,0.03,107.66,740,3,1,code completion; code generation; coding
huawei-noah/TinyBERT_General_4L_312D,1,0.03,107.69,741,1,1,quality assurance
herisan/llama-3-8b_mental_health_counseling_conversations,1,0.03,107.72,742,2,1,code completion; code generation
happzy2633/qwen2.5-7b-ins-v3,1,0.03,107.75,743,1,1,code generation
gradientai/Llama-3-8B-Instruct-Gradient-1048k,1,0.03,107.78,744,2,1,code completion; code generation
google/t5-v1_1-large,1,0.03,107.81,745,2,2,code generation; rapid prototyping
google/paligemma-3b-mix-224,1,0.03,107.84,746,1,1,defect detection
Multi-Domain-Expert-Learning/expert-freelaw,1,0.03,107.87,747,1,1,code generation
google/gemma-3n-E4B,1,0.03,107.9,748,2,1,code generation; data analysis
Multi-Domain-Expert-Learning/expert-github,1,0.03,107.93,749,1,1,code generation
FuseAI/FuseChat-Llama-3.1-8B-Instruct,1,0.03,107.96,750,2,1,code completion; code generation
